timestep,time_sec,avg_tracks,avg_ghost_tracks,avg_missed_objects,avg_false_associations,mean_position_error,rmse_position_error,vehicles_with_four_tracks,perfect_vehicles
0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0
1,0.1,1.0,0.6666666666666666,3.6666666666666665,0.3333333333333333,1.5809451588075316,2.7382773390346924,0,0
2,0.2,1.3333333333333333,0.6666666666666666,3.3333333333333335,0.3333333333333333,0.8133623307400639,1.8402124199148522,0,0
3,0.30000000000000004,2.0,0.3333333333333333,2.3333333333333335,1.0,2.43017659610738,3.206985224141445,0,0
4,0.4,2.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.406808362382031,2.439124915789513,0,0
5,0.5,2.3333333333333335,0.0,1.6666666666666667,1.6666666666666667,3.090714667101101,3.6949872649328936,0,0
6,0.6000000000000001,2.6666666666666665,0.0,1.3333333333333333,1.0,2.4609163740195394,3.2418886615426272,1,1
7,0.7000000000000001,4.666666666666667,0.6666666666666666,0.0,0.0,0.5175504600811839,0.5761111644076432,1,1
8,0.8,4.0,1.0,1.0,0.0,0.497665601072473,0.5427579512171681,1,1
9,0.9,3.3333333333333335,0.3333333333333333,1.0,0.6666666666666666,1.4120244465937475,2.042495526676279,2,1
10,1.0,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.1891424170218945,1.855665525205527,3,1
11,1.1,3.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,0.7381149277574631,1.0366142913063074,2,1
12,1.2000000000000002,4.0,0.6666666666666666,0.6666666666666666,0.0,0.48517963210550114,0.5116713448614179,3,2
13,1.3,4.666666666666667,0.6666666666666666,0.0,0.3333333333333333,1.066674241716748,1.6724369273448405,1,0
14,1.4000000000000001,4.333333333333333,0.3333333333333333,0.0,0.0,0.4576353922863556,0.5406667835181268,2,2
15,1.5,4.333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0419333735350687,1.600344323096765,2,1
16,1.6,4.666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.9156508404493784,1.4897974026121603,1,0
17,1.7000000000000002,4.666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.841063928725732,1.342540230975653,0,0
18,1.8,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0815614066002341,1.6575888322613073,0,0
19,1.9000000000000001,4.666666666666667,1.0,0.3333333333333333,1.0,0.9125820462893995,1.4555854440841398,2,0
20,2.0,5.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.7299074251328275,0.8933706441090895,2,0
21,2.1,5.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.7901499035923227,0.9615262327773604,1,0
22,2.2,4.333333333333333,0.3333333333333333,0.0,1.3333333333333333,0.5353106220786154,0.6627382913276975,2,0
23,2.3000000000000003,4.666666666666667,0.6666666666666666,0.0,1.6666666666666667,0.6863174813717414,0.9720928055522915,2,0
24,2.4000000000000004,4.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.1023980488334726,1.5661870546212189,1,0
25,2.5,4.333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.8331840876896051,1.214945965258335,1,0
26,2.6,4.333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.275265110421201,1.9985905035425053,1,0
27,2.7,5.333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.7547415434517352,1.1605220531852947,0,0
28,2.8000000000000003,5.333333333333333,1.3333333333333333,0.0,1.0,0.4830119311825735,0.5654463561104992,1,0
29,2.9000000000000004,5.0,1.3333333333333333,0.3333333333333333,1.0,0.7398001866446835,1.1413451325317585,0,0
30,3.0,4.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.524758746850104,0.5825269944128225,1,1
31,3.1,5.0,1.0,0.0,1.0,0.4758419005213926,0.6124177735015163,1,1
32,3.2,5.666666666666667,1.6666666666666667,0.0,1.0,0.6493028255636709,0.941118717711625,0,0
33,3.3000000000000003,6.0,2.0,0.0,0.3333333333333333,0.6494843216256636,0.8663383357095071,0,0
34,3.4000000000000004,5.666666666666667,1.6666666666666667,0.0,0.3333333333333333,0.3562084882796929,0.40140983276608144,0,0
35,3.5,6.333333333333333,2.3333333333333335,0.0,0.3333333333333333,0.41238732239428355,0.45898996072425985,0,0
36,3.6,6.0,2.0,0.0,0.6666666666666666,0.5262957012304922,0.6197406700774256,0,0
37,3.7,6.333333333333333,2.3333333333333335,0.0,0.6666666666666666,0.42344940584221646,0.48967894223196384,0,0
38,3.8000000000000003,7.0,3.0,0.0,0.3333333333333333,0.5023722407006407,0.5608230475752621,0,0
39,3.9000000000000004,6.333333333333333,2.3333333333333335,0.0,0.3333333333333333,0.48125559597085305,0.5489499728252444,0,0
40,4.0,6.333333333333333,2.3333333333333335,0.0,0.6666666666666666,0.902617393330555,1.5827849039251776,1,0
41,4.1000000000000005,5.333333333333333,1.3333333333333333,0.0,0.0,0.37564113440219277,0.40848784956954115,1,1
42,4.2,5.666666666666667,1.6666666666666667,0.0,0.6666666666666666,0.6664288717844155,0.7609568460603431,0,0
43,4.3,5.666666666666667,1.6666666666666667,0.0,0.6666666666666666,0.6679841726013782,0.8017315475958956,0,0
44,4.4,5.333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.5418385071239965,0.6103086121899441,1,0
45,4.5,4.666666666666667,1.0,0.3333333333333333,1.3333333333333333,0.7798611662758468,0.9420204181839146,0,0
46,4.6000000000000005,5.333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.7857649386525499,1.22599381510878,0,0
